id,priority,type,title,steps,actual,expected,evidence,retest,status
CF-01,P1,Technical / payment UX,UPI invoice opens collection with Cash selected,Create a counter invoice with UPI selected → Record payment received.,The ₹56 UPI invoice opened Record collection with Cash selected. UPI had to be selected again. No incorrect cash entry was submitted in this audit.,"Carry the selected method forward, or require an explicit collection-method choice. Do not silently substitute Cash.",136-upi-create.png; 139-upi-collection.png; 140-collection-upi.png,"Create Cash and UPI invoices; open, cancel and reopen collection. Verify method continuity and the method saved with each collection, including partial payments.",Open — not fixed
CF-02,P1,Device fitment,Landscape leaves only 136 px for the customer form,Open optional customer details → rotate OPPO to landscape at default text size.,"The fixed header, financial panels and bottom navigation leave y=410–546 for the form. One field fragment and a clipped optional-details control are visible; normal form completion requires excessive scrolling.",Give the active sale a usable viewport in landscape; collapse unrelated dashboard chrome and keep required fields/actions reachable.,93-rotation.png; 94-landscape-scroll.png,"Complete customer entry, products, review, payment and handover in landscape with keyboard open/closed; check system navigation insets.",Open — not fixed
CF-03,P2,Keyboard / validation,UPI validation pushes Confirm collection below the keyboard,Record UPI collection → enter amount → submit without reference → focus reference and type it.,"The error expands the form. Confirm collection has only 2 px of visible semantics at the numeric keyboard boundary, then disappears while the alphabetic keyboard is open. Dismissing the keyboard allowed submission.","Keep the active field, relevant error and confirmation action reachable above the keyboard; scroll deliberately to the error/action.",142-upi-keyboard.png; 144-upi-ref-error.png; 146-upi-ref-keyboard.png,Repeat missing/invalid reference and amount errors with both keyboards at 1.0× and 1.6×. Confirm without relying on hidden controls.,Open — not fixed
CF-04,P2,Visual / invoice usability,Unpaid invoice hides quantity and price columns horizontally,Create/open an unpaid multi-item invoice → scroll to the item table → swipe horizontally.,"Initially only Item / pack is visible. A horizontal swipe reveals Qty, Unit price and Amount while hiding product names. There is no clear affordance explaining this. Values exist; this is not missing financial data.","Use mobile invoice rows that show name, pack, quantity, unit price and line total together, or make overflow unmistakable.",36-invoice-scroll.png; 121-unpaid-table.png; 122-table-horizontal.png,"Verify all line values together on a 360 dp viewport, long product names, multiple items and enlarged text; totals must remain unchanged.",Open — not fixed
CF-05,P2,Technical / customer continuity,Recent customer does not reuse saved name and disappears after restart,Complete a sale with customer name/business → Next sale → choose that recent phone → expand details → restart and reopen customer entry.,"The recent entry showed only the phone. The next draft Name field was empty, despite the completed invoice retaining QA Counter Audit September. After restart the recent list returned to seeded customers; the completed named invoice still existed in Sales.",Retain useful recent-customer identity and reuse previously supplied billing details with an edit option.,31-details-reopen.png; 52-paid.png; 79-recent.png; 92-restored-form.png; 93-rotation.png; 128-upi-recent.png; 118-paid-after-restart.png,Repeat two sales for one named customer before/after restart. Verify recent identity and field reuse; old invoice snapshots must remain immutable. Business-field reuse needs an explicit retest.,Open — not fixed
CF-06,P2,Visual / layout consistency,Active sale changes between a narrow dashboard pane and full width,"Open Customer, focus/dismiss keyboard, enter products, create invoice, record payment.",Default portrait customer inputs are only 456 px wide on a 720 px screen. Dashboard finance and side actions remain prominent. Focusing the keyboard expands the form; invoice/collection returns to the narrow pane. Unpaid handover heading wraps over three lines.,"Keep a stable, focused sale layout across customer, review, collection and handover with clear hierarchy.",04-customer.png; 06-short-phone.png; 35-created.png; 38-payment.png; 42-payment-keyboard.png; 52-paid.png,"Compare every phase at default/enlarged text with keyboard transitions. Check reading width, button wrapping and scroll position continuity.",Open — not fixed
CF-07,P2,Navigation / discoverability,Customer continuation sits below recent-customer suggestions,Start Counter sale → enter a valid phone → optionally expand details.,Add items to bill is not initially visible. It sits after explanatory copy and recent customers; optional details and enlarged text add more scrolling.,Make the primary continuation obvious once required input is valid; keep suggestions secondary.,04-customer.png; 08-expanded.png; 13-form-bottom.png; 75-large-form-lower.png; 76-short-submit.png,New and returning users must locate continuation without exploring the whole form; test keyboard open/closed and four recent customers.,Open — not fixed
CF-08,P2,Payment feedback,Partial collection returns to the invoice top and hides the new balance,Record ₹64 against a ₹164 invoice.,The app returns to the tall invoice header. Received ₹64 / Due ₹100 is below the initial viewport and requires another scroll. The data is correct.,"Make the collection outcome and remaining balance immediately visible, preserving a useful reading position.",47-part-paid.png; 48-part-paid-status.png,Submit partial Cash/UPI records and immediately verify received/due amounts without scrolling or inferring changes from global totals.,Open — not fixed
CF-09,P3,Validation copy,Cash overpayment error unnecessarily mentions a UPI reference,Choose Cash → enter ₹165 against ₹164 due → Confirm collection.,The combined message asks for an amount within the balance and a UPI reference when applicable. It is not specific to the Cash error.,Show a precise amount error beside the amount field; show reference errors only for UPI.,44-overpay-result.png; 144-upi-ref-error.png,"Check blank, zero, excess amount, decimal format and missing-reference messages independently.",Open — not fixed
CF-10,P3,Typography / accessibility,Largest text truncates task title and product search hint,Set OPPO Font to Very large (system scale 1.6) → open counter products.,Counter sale becomes Counter s… and Search your products is truncated. Customer labels and optional actions wrap heavily. Product/review controls were still operable in the tested cases.,Preserve meaningful labels through responsive typography and concise copy; keep accessibility scaling supported.,74-large-ime.png; 80-recent-selected.png; 83-large-review.png,"Check all sale stages at the supported maximum text scale, including long labels and keyboard errors. Do not simply disable font scaling.",Open — not fixed
