"Screen","ApprovedReference","Title","DirectAndReachableControls","InitiallyRenderedControls","ScriptRevealedControls","NavigationLinks","Inputs","NestedSheetDialogActions","ControlLabels"
"000","00-install-app.html","00 Install App - MoolSocial Screenbook","1","1","0","1","0","0","a: Install and open MoolSocial"
"001","01-app-splash-first-open.html","01 App Splash / First Open Handoff - MoolSocial Screenbook","2","2","0","2","0","0","a: Retry | a: Help"
"002","02-first-setup-language-location.html","02 First Setup / Language + Location - MoolSocial Screenbook","6","6","0","1","1","3","button: Use current location Best when you are at the place now | button: Set manually Search area, pin code, address or choose on map | button: Skip now Continue to login and set area after signup | input: area | button: Back | a: Use Jodhpur"
"003","03-login-account-handoff.html","03 Login / Account Handoff - MoolSocial Screenbook","8","8","0","0","0","0","button: Continue with Google | button: Continue with Apple | button: Continue with X | button: Continue with Instagram | button: Continue with Facebook | button: Email OTP Use any email address | button: Mobile OTP Use mobile number | button: Verify"
"004","04-universal-focus-shell.html","04 Universal Focus Shell - MoolSocial Screenbook","32","29","3","5","1","5","button: Search | button: Scan | button: Voice | a: Open current Short full screen | a: Record | a: Caption | a: Post | a: Open current Video full screen | button: Text | button: Short | button: Video | button: Fresh | button: Monthly | button: Nearby | button: Salon | button: Repair | button: Laundry | button: Close | button: Continue | button: Show Mool actions | button: Open chats, 2 unread messages | button: Social | button: Buy | button: Eat | button: Ride | button: Book | button: Pay | button: Work | button: Chat | nested button: [unlabelled button] | nested input: Search query | nested button: Show results"
"005","05-social-shorts.html","05 Social Shorts - MoolSocial Screenbook","48","31","17","3","2","32","button: Back to social | button: Create short | button: Search shorts | button: More actions | button: For You | button: Following | button: Near You | button: Trending | button: MS Mahadev Fresh Mart Verified local shop · Jodhpur | button: Details | button: Open basket | button: RK Rasoi Kitchen Verified restaurant · Lunch live | button: Open food | button: GO Ground Ops Verified work · Paid task | button: Open work | button: Follow creator | button: Like short | button: Comments | button: Share | button: Remix | button: Save | button: Close sheet | button: Open Mool actions | button: Shorts | a: Open Videos | a: Open Feed | a: Open Create | button: Open chats, 2 unread messages | button: Grocery | button: Food | button: Work | nested button: Top | nested button: Newest | nested button: Creator replies | nested button: Like 24 | nested button: Reply | nested button: Translate | nested button: Like 11 | nested button: Like 7 | nested input: Write a comment | nested button: Post | nested button: Like | nested input: Search shorts, creators or topics | nested button: Show results | nested button: All Shorts | nested button: Nearby Local | nested button: Creators People | nested button: [unlabelled button]"
"006","06-social-videos.html","06 Social Videos - MoolSocial Screenbook","55","50","5","9","2","17","button: Cast video | button: Search videos | button: Account | button: Explore | button: All | button: Live | button: News | button: Forensic Science | button: Music | button: Podcasts | button: Live television | button: Electric vehicles | button: Products | button: Consumer Electronics | button: Indian Music | button: Recently uploaded | button: New to you | button: Grow your shop with verified product videos and local orders | a: New Fresh basket packed before morning delivery | a: Near Lunch thali ready in the kitchen now | a: Work QR proof task open for verified payout | a: Live Local store shelf refill and offers | button: Watch how this Jodhpur shop packs a fresh morning basket | button: Watch | a: Get basket | button: Save | button: More actions for morning basket video | button: Watch how QR proof tasks are checked before payout | a: Apply | button: Proof | button: More actions for QR proof video | button: Back to videos | button: Play video | button: HD | button: Full screen | button: More | button: 18K | button: Comments | button: Share | button: Follow | button: Open proof | button: Open 924 video comments | button: Watch lunch thali packing live from Rasoi Kitchen | button: Close sheet | button: Open Mool actions | a: Open Shorts | button: Videos | a: Open Feed | a: Open Create | button: Open chat | nested input: Write a video comment | nested button: Post | nested input: Search videos query | nested button: Show results | nested button: [unlabelled button]"
"007","07-social-feed.html","07 Social Feed - MoolSocial Screenbook","41","37","4","3","2","16","button: Search feed | button: Notifications | button: Account | button: For you | button: Following | button: Near you | button: Creators | button: Business | button: Work | button: Share an update, ask, sell, hire or post proof | button: Post | button: Photo | button: Poll | button: More | button: Open basket proof | button: Like | button: Comment | button: Repost | button: Share | button: Save | button: Open food proof | button: Open work proof | button: Back to feed | button: Open 184 comments | button: Repost, 42 reposts | button: Like, 2.4K likes | button: Relevant | button: View quotes | button: Reply | button: You Post your reply ↗ | button: Close sheet | button: Open Mool actions | a: Open Shorts | a: Open Videos | button: Feed | a: Open Create | button: Open chat | nested input: Search people, posts and topics | nested button: Search | nested button: [unlabelled button] | nested input: Write a reply"
"008","08-social-create.html","Screen 08: Social > Create | MoolSocial","39","34","5","4","3","22","a: Back to Feed | button: Open drafts | button: Creator tools | button: Text | button: Photo | button: Short | button: Video | button: Story | button: Live | button: Thread | button: Poll | textarea: Create text | button: Gallery | button: Camera | button: Upload | button: Tags | button: Music | button: Schedule | button: Templates | button: Captions | button: Cover | button: Collab | button: Insights | a: Creator path | button: Draft | button: Post | button: Open draft | button: Close sheet | button: Open Mool | a: Open Shorts | a: Open Videos | a: Open Feed | button: Create | button: Open chat | nested button: [unlabelled button] | nested input: Publish date | nested input: Publish time | nested button: Confirm schedule Save this date and time | nested button: Post now instead Return to immediate publishing"
"009","09-buy.html","09 Buy - MoolSocial Screenbook","47","47","0","1","0","16","button: Saved baskets | button: Profile | button: Search | button: Scan | button: Voice | button: Shop | button: Browse | button: Meds | button: Basket | button: Buy Here | button: Scan Item | button: Collect Here | button: Home Delivery | button: Home & Personal single quantity or home value pack | button: Business Bulk listed cases, MOQ and GST terms | button: Vegetables & Fruits 98 products | button: Atta, Rice & Oil 152 products | button: Dairy & Bread 42 products | button: Chips & Snacks 357 products | button: Home Care 123 products | button: Personal Care 88 products | button: ADD | button: Vegetables | button: Fruits | button: Staples | button: Dairy | button: Snacks | button: Home | button: Back | button: Back to products | button: Save | button: Share | button: Single quantity One 500 g pack for home · 11 min | button: Business bulk Direct seller case rate and MOQ | button: Add | button: View cart 4 items · Rs 256 | button: [unlabelled button] | button: Monthly | button: Fresh | button: Repeat | button: Close | a: Open Mool | button: Open shop buying | button: Browse categories | button: Order medicines | button: Open basket | button: Open chat"
