"Screen","ApprovedReference","ScreenPurpose","Journey","Client","ImplementationOwner","ApprovedControls","InitiallyRenderedControls","RevealedOrNestedControls","ApprovedNavigationLinks","ApprovedInputs","UIUX","VisibleCopy","TapAndNestedTap","VisualEvidence","CurrentRegression","LiveAPIStatus","CascadingTickets","FounderReview"
"000","00-install-app.html","install app","Install, setup, sign-in and Universal entry","Flutter","journey01","1","1","0","1","0","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","journey01_test.dart; journey_session_test.dart; universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Environment-isolated Firebase adapters implemented; local emulators verified; production project/config pending","PROD-FDN-001; PROD-ID-001; PROD-ID-002","Pending founder review"
"001","01-app-splash-first-open.html","app splash first open","Install, setup, sign-in and Universal entry","Flutter","journey01","2","2","0","2","0","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","journey01_test.dart; journey_session_test.dart; universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Environment-isolated Firebase adapters implemented; local emulators verified; production project/config pending","PROD-FDN-001; PROD-ID-001; PROD-ID-002","Pending founder review"
"002","02-first-setup-language-location.html","first setup language location","Install, setup, sign-in and Universal entry","Flutter","journey01","6","6","0","1","1","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","journey01_test.dart; journey_session_test.dart; universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Environment-isolated Firebase adapters implemented; local emulators verified; production project/config pending","PROD-FDN-001; PROD-ID-001; PROD-ID-002","Pending founder review"
"003","03-login-account-handoff.html","login account handoff","Install, setup, sign-in and Universal entry","Flutter","journey01","8","8","0","0","0","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","journey01_test.dart; journey_session_test.dart; universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Environment-isolated Firebase adapters implemented; local emulators verified; production project/config pending","PROD-FDN-001; PROD-ID-001; PROD-ID-002","Pending founder review"
"004","04-universal-focus-shell.html","universal focus shell","Install, setup, sign-in and Universal entry","Flutter","journey01","32","29","3","5","1","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","journey01_test.dart; journey_session_test.dart; universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Environment-isolated Firebase adapters implemented; local emulators verified; production project/config pending","PROD-FDN-001; PROD-ID-001; PROD-ID-002","Pending founder review"
"005","05-social-shorts.html","social shorts","Social discovery and creation","Flutter","journey01 Universal Social","48","31","17","3","2","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Review state; live social graph, moderation and media services pending","PROD-SOC-001; PROD-SOC-002; PROD-SOC-003","Pending founder review"
"006","06-social-videos.html","social videos","Social discovery and creation","Flutter","journey01 Universal Social","55","50","5","9","2","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Review state; live social graph, moderation and media services pending","PROD-SOC-001; PROD-SOC-002; PROD-SOC-003","Pending founder review"
"007","07-social-feed.html","social feed","Social discovery and creation","Flutter","journey01 Universal Social","41","37","4","3","2","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Review state; live social graph, moderation and media services pending","PROD-SOC-001; PROD-SOC-002; PROD-SOC-003","Pending founder review"
"008","08-social-create.html","social create","Social discovery and creation","Flutter","journey01 Universal Social","39","34","5","4","3","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","universal_intent_completion_test.dart","universal_screen_golden_test.dart","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Review state; live social graph, moderation and media services pending","PROD-SOC-001; PROD-SOC-002; PROD-SOC-003","Pending founder review"
"009","09-buy.html","buy","Consumer Buy, fulfilment and issue resolution","Flutter","buy","47","47","0","1","0","Implemented; Apple-inspired shared design system","Audited; production-copy gate passed","buy_home_delivery_flow_test.dart","Widget and physical-device evidence","Passed two clean Flutter cycles (312/312 each), two clean Superadmin cycles (62/62 each), and corrected OPPO clean replay","Review order gateway; live catalogue, inventory, order and payment services pending","PROD-COM-001; PROD-COM-002; PROD-MNY-001; PROD-OPS-001","Pending founder review"
